step	train/accuracy
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	4.550625817500986e-05
15	8.795197209110484e-05
16	8.277832966996357e-05
17	0.00018488033674657345
18	0.0002597664715722203
19	0.0005573371308855712
20	0.0010420969920232892
21	0.001975762192159891
22	0.004053108859807253
23	0.007143225520849228
24	0.012226815335452557
25	0.021225137636065483
26	0.03282494097948074
27	0.048481471836566925
28	0.06793927401304245
29	0.08918832242488861
30	0.11222506314516068
31	0.13521401584148407
32	0.15828776359558105
33	0.18120351433753967
34	0.20303133130073547
35	0.2238175868988037
36	0.24356189370155334
37	0.2622503638267517
38	0.2800289988517761
39	0.2970562279224396
40	0.31308621168136597
41	0.32847991585731506
42	0.34322112798690796
43	0.35720157623291016
44	0.3705044686794281
45	0.3834587037563324
46	0.3956651985645294
47	0.4073003828525543
48	0.4183977544307709
49	0.4292549788951874
50	0.4395610988140106
51	0.4495617747306824
52	0.4591407775878906
53	0.468341588973999
54	0.4772088825702667
55	0.4857727587223053
56	0.49408093094825745
57	0.5020972490310669
58	0.5098707675933838
59	0.5172609686851501
60	0.5244677662849426
61	0.5313631892204285
62	0.5380437970161438
63	0.5444890856742859
64	0.5508705973625183
65	0.5570878982543945
66	0.5629305839538574
67	0.5687277317047119
68	0.5743173956871033
69	0.5797882080078125
70	0.5851432681083679
71	0.5902134776115417
72	0.5952692627906799
73	0.6001127362251282
74	0.6048077940940857
75	0.6093965768814087
76	0.6139763593673706
77	0.618244469165802
78	0.6225736141204834
79	0.6267468333244324
80	0.6308256983757019
81	0.6347777843475342
82	0.6386135816574097
83	0.6424342393875122
84	0.6461787819862366
85	0.6497697830200195
86	0.6533634066581726
87	0.6567994952201843
88	0.6601442098617554
89	0.6634237766265869
90	0.6666353940963745
91	0.6697633862495422
92	0.6728461980819702
93	0.6758207082748413
94	0.6787583231925964
95	0.6816313862800598
96	0.6844659447669983
97	0.687194287776947
98	0.6899159550666809
99	0.6925996541976929
100	0.6951724290847778
101	0.6977401375770569
102	0.7002465128898621
103	0.7027758955955505
104	0.7051939368247986
105	0.7075612545013428
106	0.709859311580658
107	0.712134063243866
108	0.7144421935081482
109	0.716624915599823
110	0.7188034653663635
111	0.7209118008613586
112	0.7230271697044373
113	0.7250288724899292
114	0.7270636558532715
115	0.7289998531341553
116	0.7308571934700012
117	0.7328134775161743
118	0.734665036201477
119	0.736482560634613
120	0.7383072972297668
121	0.7401322722434998
122	0.741912305355072
123	0.7436193823814392
124	0.7452780604362488
125	0.7469442486763
126	0.7485902309417725
127	0.7502298951148987
128	0.7518776655197144
129	0.7534700632095337
130	0.7550213932991028
131	0.7565684914588928
132	0.7580641508102417
133	0.7595916390419006
134	0.761040449142456
135	0.7624346613883972
136	0.7639044523239136
137	0.7653294801712036
138	0.7666546106338501
139	0.7680427432060242
140	0.7693452835083008
141	0.7706548571586609
142	0.7719810605049133
143	0.7732781171798706
144	0.7745755314826965
145	0.7758266925811768
146	0.7770482897758484
147	0.7782081961631775
148	0.7794362306594849
149	0.7805995345115662
150	0.7817586064338684
151	0.7828810811042786
152	0.7840155959129333
153	0.7850964069366455
154	0.786226212978363
155	0.7873261570930481
156	0.7884253263473511
157	0.7894946932792664
158	0.7905643582344055
159	0.7916134595870972
160	0.7926491498947144
161	0.7936258912086487
162	0.7946302890777588
163	0.7955683469772339
164	0.796524167060852
165	0.7975077033042908
166	0.7984468340873718
167	0.7994169592857361
168	0.80035001039505
169	0.8012622594833374
170	0.8021502494812012
171	0.8030524849891663
172	0.8039341568946838
173	0.804826557636261
174	0.8056836128234863
175	0.8065889477729797
176	0.807441234588623
177	0.8082850575447083
178	0.8091019988059998
179	0.8099058270454407
180	0.8107191324234009
181	0.8115283846855164
182	0.8122857213020325
183	0.813036322593689
184	0.8137850165367126
185	0.8145521283149719
186	0.8152749538421631
187	0.8160459399223328
188	0.8168016076087952
189	0.8175556659698486
190	0.8183098435401917
191	0.8190532326698303
192	0.8197311758995056
193	0.820430338382721
194	0.8211224675178528
195	0.8217694163322449
196	0.8224199414253235
197	0.8231090307235718
198	0.823787271976471
199	0.8244505524635315
200	0.8251054883003235
201	0.8257544636726379
202	0.8263688087463379
203	0.8269673585891724
204	0.8275903463363647
205	0.8282001614570618
206	0.8287997841835022
207	0.8294066190719604
208	0.8300135135650635
209	0.8306439518928528
210	0.8312431573867798
211	0.8318123817443848
212	0.832416296005249
213	0.832996129989624
214	0.8335421681404114
215	0.8341416716575623
216	0.8347094058990479
217	0.8352824449539185
218	0.8358433246612549
219	0.8363974094390869
220	0.8369534611701965
221	0.837494969367981
222	0.8380325436592102
223	0.8385482430458069
224	0.8390649557113647
225	0.8395875096321106
226	0.8401101231575012
227	0.8406060934066772
228	0.8411126136779785
229	0.8416165709495544
230	0.8420835733413696
231	0.8425561785697937
232	0.8430325984954834
233	0.8435308337211609
234	0.8440259099006653
235	0.8445069789886475
236	0.8449387550354004
237	0.8453654646873474
238	0.845843493938446
239	0.8462847471237183
240	0.8467251658439636
241	0.8472082614898682
242	0.8476670980453491
243	0.8481387495994568
244	0.8485672473907471
245	0.8490204215049744
246	0.84944087266922
247	0.8498775362968445
248	0.8502795696258545
249	0.8507039546966553
250	0.851094663143158
251	0.8515028357505798
252	0.8519106507301331
253	0.8523324131965637
254	0.852708101272583
255	0.8531050086021423
256	0.8535283207893372
257	0.8539389967918396
258	0.8543248772621155
259	0.8547284603118896
260	0.8551076054573059
261	0.8554888367652893
262	0.8558816313743591
263	0.8562573194503784
264	0.8566431999206543
265	0.8570043444633484
266	0.8573738932609558
267	0.8577556014060974
268	0.8581289649009705
269	0.8584880828857422
270	0.8588739037513733
271	0.8592144250869751
272	0.8595597743988037
273	0.8599247336387634
274	0.8602932691574097
275	0.8606434464454651
276	0.8609892725944519
277	0.8613166213035583
278	0.8616220355033875
279	0.8619741797447205
280	0.8623090386390686
281	0.8626307845115662
282	0.8629443645477295
283	0.8632853627204895
284	0.8636256456375122
285	0.863950252532959
286	0.8642491102218628
287	0.8645559549331665
288	0.864861786365509
289	0.8652063608169556
290	0.8655126094818115
291	0.8658190369606018
292	0.8661282658576965
293	0.8664383292198181
294	0.8667498230934143
295	0.8670514822006226
296	0.8673458695411682
297	0.8676366806030273
298	0.8679405450820923
299	0.8682481050491333
300	0.8685410022735596
301	0.8688526153564453
302	0.8691521883010864
303	0.8694393038749695
304	0.8697322607040405
305	0.8700243234634399
306	0.8703120946884155
307	0.8705995082855225
308	0.8708652257919312
309	0.871137261390686
310	0.8714232444763184
311	0.8716932535171509
312	0.8719709515571594
313	0.8722398281097412
314	0.8725263476371765
315	0.8727831244468689
316	0.8730344772338867
317	0.8733066320419312
318	0.8735623955726624
319	0.8737985491752625
