step	train/loss
0	8.888405799865723
1	8.902933120727539
2	8.90316390991211
3	8.903543472290039
4	8.902989387512207
5	8.903552055358887
6	8.899737358093262
7	8.895729064941406
8	8.891185760498047
9	8.887802124023438
10	8.882160186767578
11	8.876214027404785
12	8.86863899230957
13	8.860994338989258
14	8.852045059204102
15	8.842573165893555
16	8.83237075805664
17	8.820844650268555
18	8.810212135314941
19	8.79759693145752
20	8.784891128540039
21	8.770956039428711
22	8.756783485412598
23	8.741805076599121
24	8.726737976074219
25	8.710203170776367
26	8.69361686706543
27	8.676691055297852
28	8.659003257751465
29	8.64101505279541
30	8.62254810333252
31	8.604012489318848
32	8.584991455078125
33	8.565343856811523
34	8.545709609985352
35	8.525884628295898
36	8.5057954788208
37	8.485705375671387
38	8.46534252166748
39	8.444746971130371
40	8.424312591552734
41	8.403807640075684
42	8.383193969726562
43	8.362781524658203
44	8.342449188232422
45	8.322112083435059
46	8.302055358886719
47	8.28233814239502
48	8.262832641601562
49	8.243188858032227
50	8.223937034606934
51	8.204793930053711
52	8.185903549194336
53	8.16734790802002
54	8.149038314819336
55	8.130888938903809
56	8.112996101379395
57	8.09536361694336
58	8.077869415283203
59	8.060832977294922
60	8.043974876403809
61	8.027531623840332
62	8.011324882507324
63	7.995436668395996
64	7.979634761810303
65	7.964039325714111
66	7.948981761932373
67	7.933969974517822
68	7.9193220138549805
69	7.904812335968018
70	7.890465259552002
71	7.87660551071167
72	7.862758636474609
73	7.849255561828613
74	7.836012363433838
75	7.822940826416016
76	7.809893608093262
77	7.797389984130859
78	7.784757614135742
79	7.7724175453186035
80	7.7602434158325195
81	7.7483086585998535
82	7.736571311950684
83	7.724875450134277
84	7.71331262588501
85	7.70203971862793
86	7.690769195556641
87	7.67978048324585
88	7.668945789337158
89	7.65824031829834
90	7.647658824920654
91	7.637231349945068
92	7.626889228820801
93	7.616738796234131
94	7.60667085647583
95	7.596715450286865
96	7.586840629577637
97	7.577160358428955
98	7.567488670349121
99	7.5578837394714355
100	7.548482894897461
101	7.539093494415283
102	7.529811859130859
103	7.5204877853393555
104	7.511362075805664
105	7.502326965332031
106	7.49342155456543
107	7.484551906585693
108	7.475609302520752
109	7.46690559387207
110	7.458197593688965
111	7.449624061584473
112	7.441023349761963
113	7.432621002197266
114	7.424148082733154
115	7.415853977203369
116	7.407702922821045
117	7.399348735809326
118	7.3911871910095215
119	7.383078098297119
120	7.374940395355225
121	7.366800785064697
122	7.35872745513916
123	7.350781440734863
124	7.342915058135986
125	7.335017204284668
126	7.327147483825684
127	7.319272994995117
128	7.311371803283691
129	7.303558826446533
130	7.295811176300049
131	7.28805685043335
132	7.280386447906494
133	7.272639751434326
134	7.265027046203613
135	7.257500171661377
136	7.249812126159668
137	7.242190361022949
138	7.234745979309082
139	7.2271599769592285
140	7.219723701477051
141	7.212254524230957
142	7.2047343254089355
143	7.197251319885254
144	7.189748764038086
145	7.18231725692749
146	7.174917697906494
147	7.167621612548828
148	7.160171031951904
149	7.152824878692627
150	7.1454668045043945
151	7.138162136077881
152	7.13081169128418
153	7.123543739318848
154	7.116156578063965
155	7.10880708694458
156	7.10143518447876
157	7.0940985679626465
158	7.086740016937256
159	7.079399108886719
160	7.072061538696289
161	7.064816474914551
162	7.057492256164551
163	7.050278186798096
164	7.043002128601074
165	7.035645961761475
166	7.028357028961182
167	7.0209808349609375
168	7.013655185699463
169	7.006343841552734
170	6.999054908752441
171	6.991713523864746
172	6.984386920928955
173	6.977015018463135
174	6.969687461853027
175	6.962238788604736
176	6.954867839813232
177	6.947488307952881
178	6.940136909484863
179	6.93278694152832
180	6.925390720367432
181	6.91797399520874
182	6.910638332366943
183	6.903286457061768
184	6.895912170410156
185	6.8884735107421875
186	6.881095886230469
187	6.873594760894775
188	6.866097927093506
189	6.858575344085693
190	6.851024150848389
191	6.843468189239502
192	6.836015701293945
193	6.828492641448975
194	6.820955276489258
195	6.813480854034424
196	6.805971622467041
197	6.7983551025390625
198	6.790733337402344
199	6.7831130027771
200	6.775480270385742
201	6.767831325531006
202	6.760223865509033
203	6.75261926651001
204	6.744935512542725
205	6.737249374389648
206	6.729555130004883
207	6.721817970275879
208	6.714051723480225
209	6.7062087059021
210	6.698399066925049
211	6.690620422363281
212	6.682741165161133
213	6.6748809814453125
214	6.667059898376465
215	6.659101486206055
216	6.651177406311035
217	6.643213748931885
218	6.635243892669678
219	6.627257823944092
220	6.619237899780273
221	6.611217498779297
222	6.603175163269043
223	6.595146179199219
224	6.587085723876953
225	6.578982830047607
226	6.570849895477295
227	6.562740325927734
228	6.554579257965088
229	6.546392917633057
230	6.5382513999938965
231	6.530068397521973
232	6.521846294403076
233	6.513550281524658
234	6.505229949951172
235	6.4969072341918945
236	6.488654136657715
237	6.480381011962891
238	6.471972942352295
239	6.463608741760254
240	6.455215930938721
241	6.4467058181762695
242	6.438214302062988
243	6.429665565490723
244	6.4211745262146
245	6.412601947784424
246	6.4040656089782715
247	6.395464897155762
248	6.386903762817383
249	6.37826681137085
250	6.3696675300598145
251	6.361001491546631
252	6.352305889129639
253	6.343551158905029
254	6.3348588943481445
255	6.326092720031738
256	6.31724214553833
257	6.308386325836182
258	6.299549579620361
259	6.290646553039551
260	6.281762599945068
261	6.272843360900879
262	6.2638702392578125
263	6.254900932312012
264	6.245880126953125
265	6.236878871917725
